,Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
250,2007,NORTH DAKOTA,1323.0,1445.0,1500
251,2008,NORTH DAKOTA,1261.0,1261.0,1405
252,2009,NORTH DAKOTA,1208.0,1236.0,1317
253,2010,NORTH DAKOTA,1375.0,1416.0,1510
254,2011,NORTH DAKOTA,1337.0,1382.0,1381
255,2012,NORTH DAKOTA,1308.0,1326.0,1326
256,2013,NORTH DAKOTA,1275.0,,1336
257,2014,NORTH DAKOTA,1281.0,1266.0,1454
258,2015,NORTH DAKOTA,1321.0,1330.0,1337
259,2016,NORTH DAKOTA,1395.0,1444.0,1442
260,2017,NORTH DAKOTA,1406.0,1430.0,1465
261,2018,NORTH DAKOTA,1418.0,1485.0,1515
262,2019,NORTH DAKOTA,1147.0,1246.0,1253
263,1987,OHIO,,,1391
264,1988,OHIO,,,1187
265,1989,OHIO,,,1115
266,1990,OHIO,1389.0,,1311
267,1991,OHIO,1426.0,,1313
268,1992,OHIO,1462.0,,1394
269,1993,OHIO,1617.0,,1361
270,1994,OHIO,1950.0,,1643
271,1995,OHIO,1790.0,,1647
272,1996,OHIO,1452.0,,1378
273,1997,OHIO,1711.0,,1485
274,1998,OHIO,1887.0,1647.0,1710
275,1999,OHIO,1699.0,1463.0,1494
276,2000,OHIO,1893.0,1625.0,1685
277,2001,OHIO,1801.0,1834.0,1785
278,2002,OHIO,1593.0,1495.0,1499
279,2003,OHIO,1791.0,1898.0,1764
280,2004,OHIO,1808.0,1873.0,1840
281,2005,OHIO,2040.0,1890.0,1974
282,2006,OHIO,1857.0,1895.0,1835
283,2007,OHIO,1892.0,1850.0,1909
284,2008,OHIO,1942.0,1755.0,1618
285,2009,OHIO,1846.0,1769.0,1757
286,2010,OHIO,1991.0,2012.0,2022
287,2011,OHIO,1882.0,1850.0,1893
288,2012,OHIO,1674.0,1708.0,1747
289,2013,OHIO,1889.0,,1780
290,2014,OHIO,1882.0,1835.0,1796
291,2015,OHIO,1621.0,1691.0,1776
292,2016,OHIO,1773.0,1715.0,1782
293,2017,OHIO,1765.0,1714.0,1828
294,2018,OHIO,2019.0,2180.0,2210
295,2019,OHIO,1563.0,1760.0,1587
296,2004,SOUTH DAKOTA,1248.0,1332.0,1302
297,2005,SOUTH DAKOTA,1634.0,1617.0,1605
298,2006,SOUTH DAKOTA,1318.0,1345.0,1316
299,2007,SOUTH DAKOTA,1476.0,1492.0,1510
300,2008,SOUTH DAKOTA,1425.0,1465.0,1492
301,2009,SOUTH DAKOTA,1513.0,1642.0,1683
302,2010,SOUTH DAKOTA,1527.0,1622.0,1605
303,2011,SOUTH DAKOTA,1652.0,1492.0,1530
304,2012,SOUTH DAKOTA,1171.0,1142.0,1127
305,2013,SOUTH DAKOTA,1508.0,,1543
306,2014,SOUTH DAKOTA,1533.0,1485.0,1498
307,2015,SOUTH DAKOTA,1541.0,1557.0,1563
308,2016,SOUTH DAKOTA,1561.0,,1709
309,2017,SOUTH DAKOTA,1511.0,1472.0,1457
310,2018,SOUTH DAKOTA,1649.0,1867.0,1822
311,2019,SOUTH DAKOTA,1504.0,1316.0,1331
