Year,State,Sep_pod_forecast,Oct_pod_forecast,Nov_pod_forecast
2009.0,NEBRASKA,1793.0,1878.0,1868.0
2010.0,NEBRASKA,1906.0,2109.0,2121.0
2011.0,NEBRASKA,2032.0,2075.0,2141.0
2012.0,NEBRASKA,1406.0,1509.0,1516.0
2013.0,NEBRASKA,1671.0,,1801.0
2014.0,NEBRASKA,1634.0,1707.0,1743.0
2015.0,NEBRASKA,1816.0,1863.0,1884.0
2016.0,NEBRASKA,1947.0,2036.0,2074.0
2017.0,NEBRASKA,1653.0,1795.0,1853.0
2018.0,NEBRASKA,1736.0,2071.0,2174.0
2019.0,NEBRASKA,1669.0,1777.0,1722.0
2004.0,NORTH DAKOTA,1114.0,1148.0,1243.0
2005.0,NORTH DAKOTA,1526.0,1471.0,1496.0
2006.0,NORTH DAKOTA,1169.0,1241.0,1260.0
2007.0,NORTH DAKOTA,1323.0,1445.0,1500.0
2008.0,NORTH DAKOTA,1261.0,1261.0,1405.0
2009.0,NORTH DAKOTA,1208.0,1236.0,1317.0
2010.0,NORTH DAKOTA,1375.0,1416.0,1510.0
2011.0,NORTH DAKOTA,1337.0,1382.0,1381.0
2012.0,NORTH DAKOTA,1308.0,1326.0,1326.0
2013.0,NORTH DAKOTA,1275.0,,1336.0
2014.0,NORTH DAKOTA,1281.0,1266.0,1454.0
2015.0,NORTH DAKOTA,1321.0,1330.0,1337.0
2016.0,NORTH DAKOTA,1395.0,1444.0,1442.0
2017.0,NORTH DAKOTA,1406.0,1430.0,1465.0
2018.0,NORTH DAKOTA,1418.0,1485.0,1515.0
2019.0,NORTH DAKOTA,1147.0,1246.0,1253.0
1987.0,OHIO,,,1391.0
1988.0,OHIO,,,1187.0
1989.0,OHIO,,,1115.0
1990.0,OHIO,1389.0,,1311.0
1991.0,OHIO,1426.0,,1313.0
1992.0,OHIO,1462.0,,1394.0
1993.0,OHIO,1617.0,,1361.0
1994.0,OHIO,1950.0,,1643.0
1995.0,OHIO,1790.0,,1647.0
1996.0,OHIO,1452.0,,1378.0
1997.0,OHIO,1711.0,,1485.0
1998.0,OHIO,1887.0,1647.0,1710.0
1999.0,OHIO,1699.0,1463.0,1494.0
2000.0,OHIO,1893.0,1625.0,1685.0
2001.0,OHIO,1801.0,1834.0,1785.0
2002.0,OHIO,1593.0,1495.0,1499.0
2003.0,OHIO,1791.0,1898.0,1764.0
2004.0,OHIO,1808.0,1873.0,1840.0
2005.0,OHIO,2040.0,1890.0,1974.0
2006.0,OHIO,1857.0,1895.0,1835.0
2007.0,OHIO,1892.0,1850.0,1909.0
2008.0,OHIO,1942.0,1755.0,1618.0
2009.0,OHIO,1846.0,1769.0,1757.0
2010.0,OHIO,1991.0,2012.0,2022.0
2011.0,OHIO,1882.0,1850.0,1893.0
2012.0,OHIO,1674.0,1708.0,1747.0
2013.0,OHIO,1889.0,,1780.0
2014.0,OHIO,1882.0,1835.0,1796.0
